transaction,actual,budgeted,date,subcategory
MONEY MARKET FEES,-0.28167413,-0.28167413,2019-05-14,TREASURY PAYMENTS
SUNDRY PAYMENTS,-0.20725998,-0.20705827,2019-05-16,ACCOUNTS PAYABLE
AP PAYMENTS,-0.41151957,-0.44294173,2019-05-16,ACCOUNTS PAYABLE
STD BANK,1.83709249,,2019-05-16,COLLECTIONS
ABSA BANK,125.34914374,140.0,2019-05-16,COLLECTIONS
STD BANK,2.25474762,,2019-05-20,COLLECTIONS
ABSA BANK,68.10755315,150.0,2019-05-20,COLLECTIONS
AP PAYMENTS,-1.6448241,-1.75,2019-05-20,ACCOUNTS PAYABLE
STD BANK,1.46648878,,2019-05-22,COLLECTIONS
ABSA BANK,117.70549054,130.0,2019-05-22,COLLECTIONS
AP PAYMENTS,-4.88821823,-4.97282692,2019-05-22,ACCOUNTS PAYABLE
SUNDRY PAYMENTS,-0.27717308,-0.27717308,2019-05-22,ACCOUNTS PAYABLE
MONEY MARKET FEES,-0.34184931,-0.34184931,2019-05-24,TREASURY PAYMENTS
OTHER ,0.10504656,,2019-05-24,STAFF COSTS
OTHER EMPLOYEE COSTS,-1.50448705,-1.50448705,2019-05-24,STAFF COSTS
SALARIES,-208.36003094,-208.36003094,2019-05-24,STAFF COSTS
AP PAYMENTS,-16.15231616,-16.9270895400001,2019-05-24,ACCOUNTS PAYABLE
INTERNATIONAL ROAMING (GSM)  - ,-75.61274849,-75.61274849,2019-05-24,ACCOUNTS PAYABLE
SUNDRY PAYMENTS,-0.38097501,-0.53153977,2019-05-24,ACCOUNTS PAYABLE
ABSA BANK,258.98692103,260.0,2019-05-24,COLLECTIONS
STD BANK,2.34737633,,2019-05-24,COLLECTIONS
BONDS,-13.65553921,-13.65553921,2019-05-24,STAFF COSTS
AP PAYMENTS,-43.09130253,-43.12199824,2019-05-28,ACCOUNTS PAYABLE
SUNDRY PAYMENTS,-0.2281783,-0.22800176,2019-05-28,ACCOUNTS PAYABLE
STD BANK,3.32651837,,2019-05-28,COLLECTIONS
FNB,10.0,,2019-05-28,COLLECTIONS
ABSA BANK,201.03698922,125.0,2019-05-28,COLLECTIONS
SUNDRY PAYMENTS,-0.26769152,-0.26769152,2019-05-30,ACCOUNTS PAYABLE
BIDVEST/BROLL PAYMENTS,-31.07614755,-31.07614755,2019-05-30,ACCOUNTS PAYABLE
AP PAYMENTS,-0.88227899,-1.15616093,2019-05-30,ACCOUNTS PAYABLE
FOREX PURCHASES,-600.0766,-600.0766,2019-05-30,TREASURY PAYMENTS
OTHER / TELKOM MOBILE,350.65848263,347.55752897,2019-05-30,COLLECTIONS
FNB,13.0,,2019-05-30,COLLECTIONS
ABSA BANK,114.79184098,150.0,2019-05-30,COLLECTIONS
STD BANK,1.74203417,,2019-05-30,COLLECTIONS
MTN / VODACOM / CELL-C / NEOTEL,50.06812886,,2019-05-30,COLLECTIONS
STD BANK,4.50423136,,2019-06-03,COLLECTIONS
FNB,13.0,,2019-06-03,COLLECTIONS
LOCAL INTEREST ON CALL,0.47043836,4.20304106,2019-06-03,OTHER INFLOWS
AP PAYMENTS,-0.22685649,-0.4,2019-06-03,ACCOUNTS PAYABLE
INTEREST BONDS/CPs,-3.19912328,-3.44794519,2019-06-03,TREASURY PAYMENTS
INTEREST LOANS,-0.2079452,-0.2079452,2019-06-03,TREASURY PAYMENTS
FOREX PURCHASES,-1.03039303,-1.03039303,2019-06-03,TREASURY PAYMENTS
ABSA BANK,109.07089905,140.0,2019-06-03,COLLECTIONS
SHARE BUY BACK,-1.35351185,-1.35351185,2019-06-05,ADHOC PAYMENTS
MONEY MARKET SWAP,-0.07460822,-0.07460822,2019-06-05,TREASURY PAYMENTS
SHORT TERM INCENTIVE,-245.0,-245.0,2019-06-05,STAFF COSTS
INTEREST BONDS/CPs,-13.19073315,-13.19073315,2019-06-05,TREASURY PAYMENTS
SUNDRY PAYMENTS,-0.49640566,-0.4962039,2019-06-05,ACCOUNTS PAYABLE
AP PAYMENTS,-0.45870442,-0.525046100000024,2019-06-05,ACCOUNTS PAYABLE
ABSA BANK,112.27848277,95.0,2019-06-05,COLLECTIONS
STD BANK,1.46248617,,2019-06-05,COLLECTIONS
INTERNATIONAL ROAMING (GSM)  - ,-51.77875,-51.77875,2019-06-05,ACCOUNTS PAYABLE
MONEY MARKET FEES,-0.59,-0.5929211,2019-06-10,TREASURY PAYMENTS
INTEREST LOANS,-26.63011752,-26.63011752,2019-06-10,TREASURY PAYMENTS
INTEREST BONDS/CPs,-12.13541096,-12.13541096,2019-06-10,TREASURY PAYMENTS
SHARE BUY BACK,-2.51855252,-2.51855252,2019-06-10,ADHOC PAYMENTS
AP PAYMENTS,-7.94138403,-7.95,2019-06-10,ACCOUNTS PAYABLE
DIVIDENDS,0.14784228,,2019-06-10,OTHER INFLOWS
FNB,16.0,,2019-06-10,COLLECTIONS
ABSA BANK,79.24895373,110.0,2019-06-10,COLLECTIONS
STD BANK,2.18553815,,2019-06-10,COLLECTIONS
MONEY MARKET FEES,-1.46269817,-1.46269817,2019-06-12,TREASURY PAYMENTS
SHARE BUY BACK,-25.59106134,-25.59106134,2019-06-12,ADHOC PAYMENTS
SUNDRY PAYMENTS,-0.23503244,-0.23503244,2019-06-12,ACCOUNTS PAYABLE
ABSA BANK,55.92075569,100.0,2019-06-12,COLLECTIONS
AP PAYMENTS,-0.46164266,-0.56496756,2019-06-12,ACCOUNTS PAYABLE
FNB,14.0,,2019-06-12,COLLECTIONS
AP FOREX PAYMENTS,-2.11569975,-2.11569975,2019-06-12,ACCOUNTS PAYABLE
STD BANK,1.36681473,,2019-06-12,COLLECTIONS
DIRECTOR'S FEES,-0.125,-0.125,2019-06-14,TREASURY PAYMENTS
EXCH. RATE DIFF,5.59597755,5.59597755,2019-06-14,TREASURY PAYMENTS
DIVIDENDS,-758.44047945,-758.44047945,2019-06-14,ADHOC PAYMENTS
SHARE BUY BACK,-40.92813839,-40.92813839,2019-06-14,ADHOC PAYMENTS
WHOLESALE FOREX PAYMENTS,-2.99254405,-2.99254405,2019-06-14,WHOLESALE PAYMENTS
INTERNATIONAL ROAMING (GSM)  - ,-196.23084315,-196.23084315,2019-06-14,ACCOUNTS PAYABLE
TELKOM MOBILE & DOMESTIC OPERATORS ,-24.82261661,-24.82261661,2019-06-14,ACCOUNTS PAYABLE
SUNDRY PAYMENTS,-0.50205443,-0.50205443,2019-06-14,ACCOUNTS PAYABLE
MONEY MARKET SWAP,-0.08910137,-0.08910137,2019-06-14,TREASURY PAYMENTS
BIDVEST/BROLL PAYMENTS,-44.25463291,-44.25463291,2019-06-14,ACCOUNTS PAYABLE
AP PAYMENTS,-182.2328,-182.29,2019-06-14,ACCOUNTS PAYABLE
DIVIDENDS,131.747,131.747,2019-06-14,OTHER INFLOWS
WHOLESALE FX RECEIPTS,16.3868164,16.3868164,2019-06-14,OTHER INFLOWS
MTN / VODACOM / CELL-C / NEOTEL,40.50231971,,2019-06-14,COLLECTIONS
OTHER / TELKOM MOBILE,22.73914564,,2019-06-14,COLLECTIONS
FNB,13.0,,2019-06-14,COLLECTIONS
ABSA BANK,208.770972413138,250.0,2019-06-14,COLLECTIONS
AP FOREX PAYMENTS,-91.52689315,-91.52689315,2019-06-14,ACCOUNTS PAYABLE
STD BANK,2.64178938,,2019-06-14,COLLECTIONS
SUNDRY PAYMENTS,-0.20925459,-0.20925459,2019-06-19,ACCOUNTS PAYABLE
AP PAYMENTS,-2.25409158,-2.4382095,2019-06-19,ACCOUNTS PAYABLE
OTHER ,0.01255789,,2019-06-19,STAFF COSTS
FNB,20.0,,2019-06-19,COLLECTIONS
ABSA BANK,47.73444086,85.0,2019-06-19,COLLECTIONS
TRUDON COLLECTIONS REFUND,-48.65253591,-48.65253591,2019-06-19,OTHER INFLOWS
STD BANK,3.6051602,,2019-06-19,COLLECTIONS
INTERNATIONAL ROAMING (GSM)  - ,-4.51485029,-4.51485029,2019-06-21,ACCOUNTS PAYABLE
SUNDRY PAYMENTS,-0.26955641,-0.43888324,2019-06-21,ACCOUNTS PAYABLE
TELKOM MOBILE & DOMESTIC OPERATORS ,-0.87358198,-0.87358198,2019-06-21,ACCOUNTS PAYABLE
MTN / VODACOM / CELL-C / NEOTEL,49.81166858,,2019-06-21,COLLECTIONS
ABSA BANK,114.64781073,150.0,2019-06-21,COLLECTIONS
AP PAYMENTS,-15.88397401,-16.67268449,2019-06-21,ACCOUNTS PAYABLE
STD BANK,2.80466762,,2019-06-21,COLLECTIONS
OTHER ,10.62452617,,2019-06-25,STAFF COSTS
OTHER EMPLOYEE COSTS,-1.49823081,-1.49823081,2019-06-25,STAFF COSTS
FOREX PURCHASES,-0.08218727,-0.08218727,2019-06-25,TREASURY PAYMENTS
SUNDRY PAYMENTS,-0.13821536,-0.13821536,2019-06-25,ACCOUNTS PAYABLE
AP PAYMENTS,-2.46906534,-2.84819372999999,2019-06-25,ACCOUNTS PAYABLE
ABSA BANK,206.92183346,260.0,2019-06-25,COLLECTIONS
STD BANK,3.64874448,,2019-06-25,COLLECTIONS
BONDS,-13.6333302,-13.6333302,2019-06-25,STAFF COSTS
SALARIES,-252.6320299,-252.6320299,2019-06-25,STAFF COSTS
STD BANK,2.21343521,,2019-06-27,COLLECTIONS
ABSA BANK,171.26951378,170.0,2019-06-27,COLLECTIONS
OTHER / TELKOM MOBILE,23.98769161,,2019-06-27,COLLECTIONS
AP PAYMENTS,-0.34620035,-0.415479719999999,2019-06-27,ACCOUNTS PAYABLE
BIDVEST/BROLL PAYMENTS,-29.81061387,-29.81061387,2019-06-27,ACCOUNTS PAYABLE
SUNDRY PAYMENTS,-0.17390641,-0.17390641,2019-06-27,ACCOUNTS PAYABLE
OTHER ,0.03376895,,2019-06-27,STAFF COSTS
INTEREST BONDS/CPs,-17.11452055,-17.11452055,2019-06-27,TREASURY PAYMENTS
INTEREST LOANS,-3.12328769,-3.12328769,2019-07-01,TREASURY PAYMENTS
INTERNATIONAL ROAMING (GSM)  - ,-51.77875,-51.77875,2019-07-01,ACCOUNTS PAYABLE
STD BANK,3.80976256,,2019-07-01,COLLECTIONS
LOCAL INTEREST ON CALL,2.27945205,2.27945205,2019-07-01,OTHER INFLOWS
AP PAYMENTS,-0.8947,-1.1213,2019-07-01,ACCOUNTS PAYABLE
ABSA BANK,170.445328314002,200.0,2019-07-01,COLLECTIONS
FNB,24.0,,2019-07-01,COLLECTIONS
ABSA BANK,55.98751317,95.0,2019-07-03,COLLECTIONS
FNB,18.0,,2019-07-03,COLLECTIONS
AP PAYMENTS,-0.41549507,-0.56509966,2019-07-03,ACCOUNTS PAYABLE
SUNDRY PAYMENTS,-0.43490034,-0.43490034,2019-07-03,ACCOUNTS PAYABLE
MONEY MARKET FEES,-0.0628682,-0.0628682,2019-07-03,TREASURY PAYMENTS
STD BANK,1.72251808,,2019-07-03,COLLECTIONS
STD BANK,2.4979799,,2019-07-08,COLLECTIONS
ABSA BANK,186.28636769,75.0,2019-07-08,COLLECTIONS
FNB,11.0,,2019-07-08,COLLECTIONS
AP PAYMENTS,-0.39998707,-0.5,2019-07-08,ACCOUNTS PAYABLE
MONEY MARKET FEES,-0.02880494,-0.02880494,2019-07-08,TREASURY PAYMENTS
SUNDRY PAYMENTS,-0.24531314,-0.24531314,2019-07-10,ACCOUNTS PAYABLE
AP PAYMENTS,-7.98550434,-8.15468686,2019-07-10,ACCOUNTS PAYABLE
ABSA BANK,82.31743278,140.0,2019-07-10,COLLECTIONS
FNB,15.0,,2019-07-10,COLLECTIONS
STD BANK,1.44945441,,2019-07-10,COLLECTIONS
STD BANK,2.29426479,,2019-07-12,COLLECTIONS
ABSA BANK,113.41878449,210.0,2019-07-12,COLLECTIONS
FNB,11.0,,2019-07-12,COLLECTIONS
AP PAYMENTS,-16.13572544,-16.39441161,2019-07-12,ACCOUNTS PAYABLE
SUNDRY PAYMENTS,-0.32218821,-0.50558839,2019-07-12,ACCOUNTS PAYABLE
OTHER ,16.22246345,,2019-07-12,STAFF COSTS
BIDVEST/BROLL PAYMENTS,-47.02993794,-47.02993794,2019-07-16,ACCOUNTS PAYABLE
SUNDRY PAYMENTS,-0.18760247,-0.18760247,2019-07-16,ACCOUNTS PAYABLE
FNB,18.0,,2019-07-16,COLLECTIONS
ABSA BANK,69.96921166,130.0,2019-07-16,COLLECTIONS
STD BANK,2.84400595,,2019-07-16,COLLECTIONS
AP PAYMENTS,-0.35958303,-0.482459590000002,2019-07-16,ACCOUNTS PAYABLE
STD BANK,0.66504247,,2019-07-18,COLLECTIONS
ABSA BANK,103.7688743,75.0,2019-07-18,COLLECTIONS
MTN / VODACOM / CELL-C / NEOTEL,35.05531673,,2019-07-18,COLLECTIONS
AP PAYMENTS,-0.88854871,-0.933427589999987,2019-07-18,ACCOUNTS PAYABLE
SUNDRY PAYMENTS,-0.2173421,-0.21703948,2019-07-18,ACCOUNTS PAYABLE
TELKOM MOBILE & DOMESTIC OPERATORS ,-13.39963258,-13.39963258,2019-07-18,ACCOUNTS PAYABLE
INTERNATIONAL ROAMING (GSM)  - ,-233.24990035,-233.24990035,2019-07-18,ACCOUNTS PAYABLE
OTHER ,0.02799743,,2019-07-22,STAFF COSTS
AP PAYMENTS,-0.29713321,-1.3,2019-07-22,ACCOUNTS PAYABLE
STD BANK,2.61012399,,2019-07-22,COLLECTIONS
ABSA BANK,45.19914527,65.0,2019-07-22,COLLECTIONS
STD BANK,1.5370491,,2019-07-24,COLLECTIONS
ABSA BANK,123.85719467,85.0,2019-07-24,COLLECTIONS
AP PAYMENTS,-2.0155511,-2.42030311,2019-07-24,ACCOUNTS PAYABLE
SUNDRY PAYMENTS,-0.27204144,-0.27204144,2019-07-24,ACCOUNTS PAYABLE
INTERNATIONAL ROAMING (GSM)  - ,-11.5,-11.5,2019-07-24,ACCOUNTS PAYABLE
PENSIONS,-54.23405545,-54.23405545,2019-07-24,STAFF COSTS
UNIONS,-0.2736,-0.2736,2019-07-24,STAFF COSTS
OTHER ,0.1053927,,2019-07-24,STAFF COSTS
INTEREST BONDS/CPs,-22.07186301,-22.07186301,2019-07-24,TREASURY PAYMENTS
SUNDRY PAYMENTS,-0.20727262,-0.18898768,2019-07-26,ACCOUNTS PAYABLE
OTHER ,0.05116576,,2019-07-26,STAFF COSTS
ABSA BANK,169.11768511,200.0,2019-07-26,COLLECTIONS
AP PAYMENTS,-15.60257386,-15.71101232,2019-07-26,ACCOUNTS PAYABLE
STD BANK,3.58269865,,2019-07-26,COLLECTIONS
MONEY MARKET FEES,-0.43479452,-0.43479452,2019-07-31,TREASURY PAYMENTS
EXCH. RATE DIFF,-8.998,-8.998,2019-07-31,TREASURY PAYMENTS
OTHER ,0.40366293,,2019-07-31,STAFF COSTS
OTHER EMPLOYEE COSTS,-6.77155256,-6.77155256,2019-07-31,STAFF COSTS
PENSIONS,-0.43075048,-0.43075048,2019-07-31,STAFF COSTS
VAT,-26.1100528,-26.1100528,2019-07-31,SARS
WHOLESALE FOREX PAYMENTS,-43.28424745,-43.28424745,2019-07-31,WHOLESALE PAYMENTS
BCX,-617.43322818,-617.43322818,2019-07-31,ACCOUNTS PAYABLE
STD BANK,2.29905429,,2019-07-31,COLLECTIONS
AP FOREX PAYMENTS,-358.39015699,-358.39015699,2019-07-31,ACCOUNTS PAYABLE
SUNDRY PAYMENTS,-0.24964737,-0.24964737,2019-07-31,ACCOUNTS PAYABLE
ABSA BANK,730.35113027,903.0,2019-07-31,COLLECTIONS
FNB,25.0,,2019-07-31,COLLECTIONS
OTHER / TELKOM MOBILE,325.75059961,327.91329182,2019-07-31,COLLECTIONS
MEDICAL SCHEMES incl. PENSIONERS,-35.62708996,-35.62708996,2019-07-31,STAFF COSTS
AP PAYMENTS,-1050.52620873,-1050.57975782,2019-07-31,ACCOUNTS PAYABLE
BIDVEST/BROLL PAYMENTS,-21.19792084,-21.19792084,2019-07-31,ACCOUNTS PAYABLE
WHOLESALE FX RECEIPTS,16.764430830000002,16.764430830000002,2019-07-31,OTHER INFLOWS
ABSA BANK,130.34853429,125.0,2019-08-01,COLLECTIONS
FNB,11.0,,2019-08-01,COLLECTIONS
AP PAYMENTS,-98.60513989,-98.81242248,2019-08-01,ACCOUNTS PAYABLE
SUNDRY PAYMENTS,-0.18768252,-0.18757752,2019-08-01,ACCOUNTS PAYABLE
INTEREST LOANS,-3.18287671,-3.18287671,2019-08-01,TREASURY PAYMENTS
STD BANK,3.63656241,,2019-08-01,COLLECTIONS
AP PAYMENTS,-0.1518,-0.3,2019-08-05,ACCOUNTS PAYABLE
MONEY MARKET FEES,-0.04883561,-0.04883561,2019-08-05,TREASURY PAYMENTS
FNB,20.0,,2019-08-05,COLLECTIONS
STD BANK,2.52195475,,2019-08-05,COLLECTIONS
ABSA BANK,374.34669259,145.0,2019-08-05,COLLECTIONS
ABSA BANK,101.03725554,190.0,2019-08-08,COLLECTIONS
AP PAYMENTS,-48.33668203,-48.53702027,2019-08-08,ACCOUNTS PAYABLE
SUNDRY PAYMENTS,-0.43099396,-0.26297973,2019-08-08,ACCOUNTS PAYABLE
OTHER ,0.40314572,,2019-08-08,STAFF COSTS
STD BANK,2.57789518,,2019-08-08,COLLECTIONS
STD BANK,2.4910137,,2019-08-13,COLLECTIONS
ABSA BANK,82.67591443,85.0,2019-08-13,COLLECTIONS
AP PAYMENTS,-0.4192441,-0.59014931,2019-08-13,ACCOUNTS PAYABLE
SUNDRY PAYMENTS,-0.21000196,-0.20985069,2019-08-13,ACCOUNTS PAYABLE
OTHER ,0.02619081,,2019-08-13,STAFF COSTS
MONEY MARKET FEES,-0.1352489,-0.1352489,2019-08-13,TREASURY PAYMENTS
WHOLESALE FOREX PAYMENTS,-14.7365962,-14.7365962,2019-08-15,WHOLESALE PAYMENTS
INTERNATIONAL ROAMING (GSM)  - ,-2.30456949,-2.30456949,2019-08-15,ACCOUNTS PAYABLE
SUNDRY PAYMENTS,-0.2263372,-0.2263372,2019-08-15,ACCOUNTS PAYABLE
AP FOREX PAYMENTS,-40.31466193,-40.31466193,2019-08-15,ACCOUNTS PAYABLE
AP PAYMENTS,-47.747059899999996,-47.9073707,2019-08-15,ACCOUNTS PAYABLE
ABSA BANK,202.84264875,230.0,2019-08-15,COLLECTIONS
MTN / VODACOM / CELL-C / NEOTEL,15.69425099,,2019-08-15,COLLECTIONS
OTHER / TELKOM MOBILE,29.22834779,,2019-08-15,COLLECTIONS
FNB,12.0,,2019-08-15,COLLECTIONS
EXCH. RATE DIFF,14.3,14.3,2019-08-15,TREASURY PAYMENTS
WHOLESALE FX RECEIPTS,6.6131663,6.6131663,2019-08-15,OTHER INFLOWS
STD BANK,1.5553773,,2019-08-15,COLLECTIONS
MONEY MARKET FEES,-0.0115,-0.0115,2019-08-15,TREASURY PAYMENTS
ABSA BANK,62.18474401,90.0,2019-08-19,COLLECTIONS
OTHER ,0.26534278,,2019-08-19,STAFF COSTS
STD BANK,2.71545678,,2019-08-19,COLLECTIONS
FNB,13.0,,2019-08-19,COLLECTIONS
AP PAYMENTS,-0.24757931,-0.4,2019-08-19,ACCOUNTS PAYABLE
STD BANK,1.68711238,,2019-08-21,COLLECTIONS
ABSA BANK,86.34914147,75.0,2019-08-21,COLLECTIONS
FNB,10.0,,2019-08-21,COLLECTIONS
AP PAYMENTS,-1.29195145,-1.5027754,2019-08-21,ACCOUNTS PAYABLE
SUNDRY PAYMENTS,-0.31617004,-0.31617004,2019-08-21,ACCOUNTS PAYABLE
TELKOM MOBILE & DOMESTIC OPERATORS ,-3.98105456,-3.98105456,2019-08-21,ACCOUNTS PAYABLE
MONEY MARKET FEES,-0.03210316,-0.03210316,2019-08-21,TREASURY PAYMENTS
MONEY MARKET FEES,-0.06357331,-0.06357331,2019-08-23,TREASURY PAYMENTS
DIRECTOR'S FEES,-0.07746225,-0.07746225,2019-08-23,TREASURY PAYMENTS
OTHER EMPLOYEE COSTS,-1.52072634,-1.52072634,2019-08-23,STAFF COSTS
SALARIES,-204.54201129,-204.54201129,2019-08-23,STAFF COSTS
OTHER ,0.18324437,,2019-08-23,STAFF COSTS
SUNDRY PAYMENTS,-0.22350724,-0.39387793,2019-08-23,ACCOUNTS PAYABLE
AP PAYMENTS,-25.981582959999997,-16.26251683,2019-08-23,ACCOUNTS PAYABLE
STD BANK,2.58774494,,2019-08-23,COLLECTIONS
FNB,11.0,,2019-08-23,COLLECTIONS
ABSA BANK,90.04103945,200.0,2019-08-23,COLLECTIONS
BONDS,-13.58086761,-13.58086761,2019-08-23,STAFF COSTS
STD BANK,3.45584379,,2019-08-27,COLLECTIONS
ABSA BANK,60.58399478,95.0,2019-08-27,COLLECTIONS
AP PAYMENTS,-0.26620504,-0.391630620000005,2019-08-27,ACCOUNTS PAYABLE
SUNDRY PAYMENTS,-0.10441338,-0.10441338,2019-08-27,ACCOUNTS PAYABLE
SUNDRY PAYMENTS,-0.18898768,-0.18898768,2019-08-29,ACCOUNTS PAYABLE
BIDVEST/BROLL PAYMENTS,-45.15011566,-45.15011566,2019-08-29,ACCOUNTS PAYABLE
STD BANK,1.99045338,,2019-08-29,COLLECTIONS
MTN / VODACOM / CELL-C / NEOTEL,27.57095448,,2019-08-29,COLLECTIONS
ABSA BANK,154.0257443,150.0,2019-08-29,COLLECTIONS
AP PAYMENTS,-5.91243127,-6.16013944000001,2019-08-29,ACCOUNTS PAYABLE
OTHER ,0.03628738,,2019-09-02,STAFF COSTS
FOREX PURCHASES,326.97357,,2019-09-02,TREASURY PAYMENTS
INTEREST LOANS,-11.03027807,-10.95692192,2019-09-02,TREASURY PAYMENTS
VAT,68.6132146,,2019-09-02,SARS
FNB,21.0,,2019-09-02,COLLECTIONS
AP PAYMENTS,-0.242046299999997,-1.2,2019-09-02,ACCOUNTS PAYABLE
MTN / VODACOM / CELL-C / NEOTEL,41.37068307,,2019-09-02,COLLECTIONS
STD BANK,5.16597881,,2019-09-02,COLLECTIONS
ABSA BANK,103.04285494,170.0,2019-09-02,COLLECTIONS
SUNDRY PAYMENTS,-0.02588856,,2019-09-02,ACCOUNTS PAYABLE
STD BANK,1.66969327,,2019-09-04,COLLECTIONS
ABSA BANK,64.21080664,130.0,2019-09-04,COLLECTIONS
FNB,17.0,,2019-09-04,COLLECTIONS
AP PAYMENTS,-1.0284737,-43.48724832,2019-09-04,ACCOUNTS PAYABLE
SUNDRY PAYMENTS,-0.41275168,-0.41275168,2019-09-04,ACCOUNTS PAYABLE
MONEY MARKET SWAP,0.07435616,0.07435616,2019-09-04,TREASURY PAYMENTS
INTEREST BONDS/CPs,-45.663254800000004,-45.663254800000004,2019-09-04,TREASURY PAYMENTS
INTEREST BONDS/CPs,-10.91750685,-10.91750685,2019-09-09,TREASURY PAYMENTS
MONEY MARKET SWAP,-0.60783013,-0.60783013,2019-09-09,TREASURY PAYMENTS
FNB,23.0,,2019-09-09,COLLECTIONS
ABSA BANK,58.83946791,160.0,2019-09-09,COLLECTIONS
STD BANK,2.38834031,,2019-09-09,COLLECTIONS
AP PAYMENTS,41.55331926,-0.9,2019-09-09,ACCOUNTS PAYABLE
STD BANK,1.3123753,,2019-09-11,COLLECTIONS
ABSA BANK,48.00126274,90.0,2019-09-11,COLLECTIONS
FNB,10.0,,2019-09-11,COLLECTIONS
AP PAYMENTS,-8.08431878,-8.22736161,2019-09-11,ACCOUNTS PAYABLE
SUNDRY PAYMENTS,-0.27278971,-0.27263839,2019-09-11,ACCOUNTS PAYABLE
SUNDRY PAYMENTS,-0.24625811,-0.28443525,2019-09-13,ACCOUNTS PAYABLE
EXCH. RATE DIFF,1.99,1.99,2019-09-13,TREASURY PAYMENTS
WHOLESALE FOREX PAYMENTS,-2.42149751,-2.42149751,2019-09-13,WHOLESALE PAYMENTS
INTERNATIONAL ROAMING (GSM)  - ,-100.32455132,-100.32455132,2019-09-13,ACCOUNTS PAYABLE
AP FOREX PAYMENTS,-29.91617652,-29.91617652,2019-09-13,ACCOUNTS PAYABLE
TELKOM MOBILE & DOMESTIC OPERATORS ,-15.99169061,-15.99169061,2019-09-13,ACCOUNTS PAYABLE
WHOLESALE FX RECEIPTS,9.32943647,9.32943647,2019-09-13,OTHER INFLOWS
MTN / VODACOM / CELL-C / NEOTEL,9.70494499,,2019-09-13,COLLECTIONS
STD BANK,2.1636228,,2019-09-13,COLLECTIONS
OTHER / TELKOM MOBILE,11.51322638,,2019-09-13,COLLECTIONS
FNB,11.0,,2019-09-13,COLLECTIONS
ABSA BANK,136.96243752,150.0,2019-09-13,COLLECTIONS
AP PAYMENTS,-84.15585639,-84.09932282,2019-09-13,ACCOUNTS PAYABLE
INTEREST LOANS,-14.14239726,-14.14239726,2019-09-17,TREASURY PAYMENTS
INTEREST BONDS/CPs,-7.6290411,-7.6290411,2019-09-17,TREASURY PAYMENTS
INTERNATIONAL ROAMING (GSM)  - ,-192.42816619,-192.42816619,2019-09-17,ACCOUNTS PAYABLE
MONEY MARKET SWAP,-0.93069315,-0.93069315,2019-09-17,TREASURY PAYMENTS
AP PAYMENTS,-6.68355079,-6.59818953999999,2019-09-17,ACCOUNTS PAYABLE
ABSA BANK,40.92328532,95.0,2019-09-17,COLLECTIONS
STD BANK,2.94843504,,2019-09-17,COLLECTIONS
SUNDRY PAYMENTS,-0.17364427,-0.17364427,2019-09-17,ACCOUNTS PAYABLE
STD BANK,1.5431385,,2019-09-19,COLLECTIONS
ABSA BANK,72.98216678,140.0,2019-09-19,COLLECTIONS
OTHER / TELKOM MOBILE,26.74856167,,2019-09-19,COLLECTIONS
TRUDON COLLECTIONS REFUND,-42.53197366,-42.53197366,2019-09-19,OTHER INFLOWS
AP PAYMENTS,-1.22344613,-1.67011741,2019-09-19,ACCOUNTS PAYABLE
SUNDRY PAYMENTS,-0.19790893,-0.19790893,2019-09-19,ACCOUNTS PAYABLE
OTHER ,0.02724207,,2019-09-19,STAFF COSTS
UNIONS,-0.27528,-0.27528,2019-09-23,STAFF COSTS
PENSIONS,-54.30975384,-54.30975384,2019-09-23,STAFF COSTS
STD BANK,2.9659548,,2019-09-23,COLLECTIONS
OTHER / TELKOM MOBILE,15.4043363,,2019-09-23,COLLECTIONS
ABSA BANK,45.67347165,180.0,2019-09-23,COLLECTIONS
AP PAYMENTS,-2.45367788,-2.61496616,2019-09-23,ACCOUNTS PAYABLE
STD BANK,3.7691513,,2019-09-26,COLLECTIONS
ABSA BANK,126.23003475,130.0,2019-09-26,COLLECTIONS
OTHER / TELKOM MOBILE,7.07034747,,2019-09-26,COLLECTIONS
AP PAYMENTS,-0.94560247,-1.00094496,2019-09-26,ACCOUNTS PAYABLE
SUNDRY PAYMENTS,-0.09905504,-0.09905504,2019-09-26,ACCOUNTS PAYABLE
OTHER ,0.03025784,,2019-09-26,STAFF COSTS
PENSIONS,-0.217449,-0.217449,2019-09-30,STAFF COSTS
MEDICAL SCHEMES incl. PENSIONERS,-35.47121928,-35.47121928,2019-09-30,STAFF COSTS
OTHER EMPLOYEE COSTS,-6.82491397,-6.82491397,2019-09-30,STAFF COSTS
MONEY MARKET FEES,-0.00725952,-0.00725952,2019-09-30,TREASURY PAYMENTS
INTEREST LOANS,-16.40171233,-16.39971233,2019-09-30,TREASURY PAYMENTS
EXCH. RATE DIFF,37.04,37.04,2019-09-30,TREASURY PAYMENTS
VAT,-21.66632569,-21.66632569,2019-09-30,SARS
OTHER ,0.25435815,,2019-09-30,STAFF COSTS
WHOLESALE FOREX PAYMENTS,-30.12104766,-30.12104766,2019-09-30,WHOLESALE PAYMENTS
ABSA BANK,767.81711017,800.0,2019-09-30,COLLECTIONS
AP FOREX PAYMENTS,-278.23095404000003,-278.23095404000003,2019-09-30,ACCOUNTS PAYABLE
